file,journal
304 Zhang_et_al-2012-Geophysical_Journal_International.pdf,Geophysical Journal International 
305 zheng art%3A10.1007%2Fs11589-014-0069-9.pdf,Earthquake Science
306 zheng 1-s2.0-S0031920114002155-main.pdf,Physics of the Earth and Planetary Interiors 
307 Zhou_et_al-2011-Geophysical_Journal_International.pdf,Geophysical Journal International 
308 zhu 1-s2.0-S0031920109002180-main.pdf,Physics of the Earth and Planetary Interiors 
309 Geophys. J. Int.-2015-Zhu-18-52.pdf,Geophysical Journal International 
310 zhu Mapping Tectonic Deformation in the Crust and Upper Mantle Beneath Europe and the North Atlantic Ocean.pdf,Science
311 zhu 1-s2.0-S0012821X13004676-main.pdf,Earth and Planetary Science Letters 
312 zhu ngeo1501.pdf,Nature Geoscience
313 zhu grl29542.pdf,Geophysical Research Letters
